id,category,color,style,season,occasion,gender,material,brand,price_range
0,jeans,blue,sport,winter,gym,female,polyester,adidas,low
1,jeans,blue,casual,winter,party,male,cotton,levi,low
2,shirt,white,sport,autumn,party,unisex,denim,hm,medium
3,jeans,brown,streetwear,autumn,daily,male,polyester,nike,medium
4,tshirt,white,sport,winter,office,male,cotton,gucci,low
5,coat,black,sport,autumn,travel,female,denim,prada,medium
6,trousers,brown,casual,summer,office,male,wool,adidas,high
7,jeans,brown,streetwear,autumn,office,male,wool,puma,medium
8,blazer,grey,formal,winter,travel,male,linen,zara,low
9,shorts,blue,formal,autumn,daily,unisex,wool,adidas,low
10,coat,brown,business,autumn,travel,female,polyester,puma,medium
11,coat,brown,sport,spring,gym,unisex,denim,puma,premium
12,tshirt,red,streetwear,winter,gym,unisex,polyester,puma,low
13,trousers,blue,sport,winter,daily,male,linen,nike,premium
14,tshirt,green,business,autumn,gym,female,wool,adidas,premium
15,trousers,brown,sport,winter,daily,male,polyester,nike,low
16,coat,yellow,streetwear,summer,office,unisex,cotton,gap,high
17,hoodie,green,formal,winter,office,male,polyester,gap,medium
18,sweater,blue,business,winter,travel,unisex,polyester,nike,low
19,shirt,grey,sport,winter,gym,female,cotton,gap,high
20,shirt,blue,casual,spring,travel,unisex,linen,hm,premium
21,shirt,blue,casual,summer,office,female,polyester,puma,medium
22,jeans,red,formal,autumn,party,male,wool,hm,premium
23,shirt,yellow,sport,autumn,travel,unisex,wool,gap,premium
24,hoodie,navy,business,winter,office,male,wool,puma,low
25,blazer,red,streetwear,winter,gym,male,linen,gap,low
26,jacket,red,sport,winter,party,female,wool,zara,low
27,shirt,grey,business,spring,travel,male,linen,prada,high
28,coat,yellow,casual,summer,daily,unisex,wool,prada,medium
29,jacket,grey,sport,autumn,gym,unisex,denim,adidas,low
30,jacket,blue,formal,summer,daily,unisex,linen,prada,high
31,hoodie,red,casual,winter,office,male,wool,nike,low
32,sweater,brown,formal,winter,party,female,polyester,gucci,high
33,shirt,green,business,autumn,travel,male,cotton,gap,medium
34,shorts,white,sport,summer,gym,male,wool,hm,high
35,shirt,grey,business,spring,office,unisex,cotton,levi,medium
36,shirt,green,business,summer,office,female,wool,uniqlo,high
37,trousers,yellow,business,winter,gym,female,polyester,nike,low
38,jeans,red,casual,winter,daily,female,linen,gucci,medium
39,tshirt,black,streetwear,summer,travel,female,linen,zara,low
40,sweater,beige,business,summer,party,unisex,wool,levi,high
41,trousers,brown,sport,autumn,party,male,wool,zara,medium
42,blazer,brown,streetwear,winter,gym,unisex,polyester,gap,low
43,jeans,grey,sport,winter,daily,female,polyester,levi,medium
44,jacket,navy,streetwear,winter,party,unisex,polyester,uniqlo,high
45,shorts,red,casual,autumn,office,female,cotton,gap,medium
46,jacket,white,streetwear,autumn,party,male,denim,levi,medium
47,jeans,blue,sport,spring,party,male,linen,uniqlo,low
48,hoodie,navy,casual,spring,travel,female,wool,levi,medium
49,shirt,grey,sport,winter,office,unisex,linen,uniqlo,medium
50,shirt,navy,business,spring,daily,female,linen,gucci,medium
51,jacket,black,sport,winter,office,male,linen,puma,premium
52,trousers,red,formal,autumn,gym,female,cotton,gap,premium
53,shirt,white,sport,spring,daily,male,wool,puma,medium
54,blazer,beige,formal,autumn,office,female,cotton,levi,medium
55,shorts,green,formal,summer,daily,female,linen,prada,medium
56,shirt,grey,streetwear,winter,gym,unisex,cotton,nike,high
57,jeans,black,business,winter,party,female,wool,gucci,high
58,coat,red,streetwear,autumn,gym,male,linen,gap,low
59,trousers,black,streetwear,spring,office,male,wool,gucci,high
60,jeans,green,streetwear,summer,office,male,polyester,gap,high
61,hoodie,yellow,sport,winter,office,male,wool,levi,premium
